titulo,autor,ISBN_13,ISBN_10,ano,paginas,idioma,editora,rating,genero
10 decisões inteligentes que uma mulher deve tomar antes dos 40,Tina B. Tessina,9788576860402,8576860406,2008,228,português,Verus,2.8, 
10 mandamentos para fracassar nos negócios,Donald R. Keough,9788575425367,8575425366,2010,158,português,Sextante,3.8, 
A Catastrófica História de Nós Dois,Jess Rothenberg,9788579801099,8579801095,2012,384,português,Rocco,4.2, 
A Viagem do Liberdade,Joshua Slocum,9788576650102,857665010X,2005,156,português,Planeta,4.5, 
A vontade e a fortuna,Carlos Fuentes,9788532524430,8532524435,2009,448,português,Rocco,4.8, 
Acervo de Maldizer,Wanderley Guilherme dos Santos,9788532517579,8532517579,2008,127,português,Rocco,5, 
Adorável Heroína,Michael Hingson,9788579303173,8579303176,2012,231,português,Universo,4.1, 
Aprendiz de Parteira,Karen Cushman,9788532509109,853250910X,2004,124,inglês,Rocco,0, 
As 17 cores do branco,Lauz Raul Machado,9788501094483,850109448X,2012,125,português,Galera,3.6, 
As Flores no Sagrado Limiar,Vários autores,9788532000217,8532000215,1996,180,português,Planeta,5, 
Cavalo de Tróia 5,J. J. Benítez,9788576654186,8576654180,2009,344,português,Planeta,4, 
Desiderata,Max Ehrmann,9788575422366,8575422367,2006,72,português,Sextante,4.1, 
Desolação,Dyonelio Machado,9788576650911,8576650916,2005,319,português,Planeta,3.7, 
Deus Reconhecerá os Seus: a História Secreta dos Cátaros,MARIA NAZARETH ALVIM DE BARROS,9788532521620,8532521622,2007,254,português,Rocco,3.9, 
Dez Leis para Ser Feliz,Augusto Cury,9788575428160,8575428160,2012,79,português,Sextante,3.6, 
Em busca do perdão,James Van Praagh,9788586796463,8586796468,2000,112,português,Sextante,3.8, 
Emoções que Curam,Daniel Goleman,9788532509710,8532509711,1999,288,português,Rocco,3.5, 
Essências e Alquimia,Mandy Aftel,9788532519696,8532519695,2006,240,português,Rocco,4.2, 
Gentileza,Gabriel Chalita,9788576656364,8576656361,2011,176,português,Planeta,4, 
História da Filosofia Medieval,Luciano de Crescenzo,9788532520371,8532520375,2002,147,português,Rocco,3.8, 
Meditações Celestinas,SALLE MERRILL REDFIELD,9788586796739,8586796735,2001,80,português,Sextante,2.9, 
Mensagens de Sabedoria e Paz,Papa João Paulo II,9788575421673,8575421670,2005,112,português,Sextante,4, 
mentiras e confissões,Chantal Dalmass,9788576651079,8576651076,2005,141,português,Planeta,3, 
nos passos de moisés,pierre chavot,9788532517852,8532517854,2001,125,português,Rocco,3.3, 
O Altruísmo e a Moral,Francesco Alberoni,9788532500328,8532500323,1992,103,português,Rocco,3.8, 
O Caminho da Tranqüilidade,XIV Dalai Lama (Tenzin Gyatso),9788575423998,8575423991,2008,96,português,Sextante,3.8, 
O Convite,Oriah Mountain Dreamer,9788586796616,8586796611,2000,176,português,Sextante,3.6, 
O Corpo Humano,Luciano Trigo,9788532505217,853250521X,1995,205,português,Rocco,3.3, 
O Demônio no Freezer,Richard Preston,9788532516343,8532516343,2002,318,português,Rocco,3.9, 
O essencial do Candomblé,Ademir Barbosa Júnior,9788579302749,8579302749,2011,144,português,Universo,3.6, 
O Estranho Caso de Mademoiselle P.,Brian O'Doherty,9788532503930,8532503934,1993,199,português,Rocco,4, 
O Outro Lado da Vida,Sylvia Browne,9788586796654,8586796654,2000,277,português,Sextante,3.9, 
O Paraíso dos Ogros,Daniel Pennac,9788532505095,8532505090,1990,200,português,Rocco,3.3, 
O PENSAMENTO DO CORAÇÃO E A ALMA DO MUNDO,James Hilman,9788576860709,8576860708,2010,111,português,Verus,3.2, 
"Ok, Estou Usando Calcinhas Gigantes",Louise Rennison,9788532518477,8532518478,2005,198,português,Rocco,3.6, 
Para que minha vida se transforme 2,Maria Salette,9788587795274,8587795279,2002,122,português,Verus,3.7, 
Rastros de Verão,João Gilberto Noll,9788501080356,8501080357,1990,80,português,Rocco,4, 
Réquiem Para Monalisa,Antenor Pimenta,9788532511768,8532511767,2000,192,português,Rocco,3.2, 
sexo zen,Philip Toshio Sudo,9788586796944,8586796948,2007,110,português,Sextante,3.5, 
Sol Negro,Julia Kristeva,9788532501714,8532501710,1996,232,português,Rocco,3.5, 
Três vezes Rio,Nelson Pereira dos Santos,9788532510389,8532510388,1999,324,português,Rocco,5, 
Um caso de amor com a vida,Regis de Morais,9788587795489,8587795481,2003,162,português,Verus,3.3, 
City,Alessandro Baricco,9788532514110,8532514111,2002,315,português,Rocco,4,  
Educação pelo argumento,Gustavo Bernardo,9788532510648,8532510647,2007,272,português,Rocco,3.4,  
Ethos Mundial,Leonardo Boff,9788575420607,8575420607,2003,144,português,Sextante,3.7,  
Magia,Andrea Camilleri,9788501102744,8501102741,2015,96,português,Galera,3.9,  
Olhar acima do horizonte,Luiz Alberto Py,9788532514424,8532514421,2002,177,português,Rocco,3.6,  
"Sua Santidade, o Dalai-Lama",XIV Dalai Lama (Tenzin Gyatso),9788586796678,8586796670,1998,119,português,Sextante,3.8,  
A Economia do Ócio,Domenico de Masi,9788586796876,8586796875,2001,183,português,Sextante,3.7,Administração
Aprendendo a Lidar com Pessoas Difíceis,Rick Brinkman,9788575422250,8575422251,2006,80,português,Sextante,3.1,Administração
Dar e receber,Adam Grant,9788543100739,8543100739,2014,288,português,Sextante,4.1,Administração
Descubra seus Pontos Fortes,Marcus Buckingham,9788575423929,8575423924,2008,272,português,Sextante,3.8,Administração
Equilíbrio e Resultado,Christian Barbosa,9788575427880,8575427881,2012,144,português,Sextante,3.9,Administração
Feitas Para Durar,Jim Collins,9788532522122,8532522122,2007,408,português,Rocco,4.4,Administração
Fora de Série - Outliers,Malcolm Gladwell,9788575424483,8575424483,2008,262,português,Sextante,4.2,Administração
Guia de Negociação para Mulheres,Leslie Whitaker,9788575420195,8575420194,2002,224,português,Sextante,3,Administração
Juntos somos melhores,Simon Sinek,9788543108766,8543108764,2019,160,português,Sextante,4.1,Administração
Mestres das Vendas,Ivan R. Misner,9788575429228,8575429221,2013,272,português,Sextante,3.3,Administração
O líder sem status: uma parábola,Robin Sharma,9788576860938,8576860937,2010,212,português,Verus,4.1,Administração
Vá Direto ao Assunto,Stuart R. Levine,9788575424520,8575424521,2009,160,português,Sextante,3.4,Administração
33 Estratégias de guerra - EDIÇÃO CONCISA,Robert Greene,9788532528728,8532528724,2014,216,português,Rocco,4.5,Administração / Autoajuda
Não tenha medo de ser chefe,Bruce Tulgan,9788543108186,8543108187,2019,192,português,,3.4,Administração / Autoajuda
Realidade Americana,Carlinhos Troll,9788550300566,855030056X,2016,144,português,Universo,3.8,"Administração / Autoajuda / Aventura / Biografia, Autobiografia, Memórias / Comunicação / Economia, Finanças / Negócios e Empreendedorismo / Turismo e Viagens "
A Tríade do Tempo,Christian Barbosa,9788575427248,8575427245,2011,256,português,Sextante,3.9,"Administração / Autoajuda / Biografia, Autobiografia, Memórias / Negócios e Empreendedorismo "
Consiga o que você quer,Stuart Diamond,9788575427699,8575427695,2012,384,português,Sextante,4.3,Administração / Autoajuda / Comunicação / Marketing e Publicidade
As Armas da Persuasão,Robert Cialdini,9788575428092,8575428098,2012,304,português,Sextante,4.3,Administração / Autoajuda / Comunicação / Psicologia
